Genus_species	states
Viburnum_clemensae	0
Viburnum_nudum	0
Viburnum_cassinoides	0
Viburnum_utile	0
Viburnum_carlesii	0
Viburnum_macrocephalum	0
Viburnum_veitchii	0
Viburnum_rhytidophyllum	0
Viburnum_mongolicum	0
Viburnum_lantana	0
Viburnum_schensianum	0
Viburnum_punctatum	0
Viburnum_elatum	0
Viburnum_rufidulum	0
Viburnum_lentago	0
Viburnum_prunifolium	0
Viburnum_subalpinum	0
Viburnum_erubescens	0
Viburnum_oliganthum	0
Viburnum_chingii	0
Viburnum_corymbiflorum	0
Viburnum_farreri	0
Viburnum_suspensum	0
Viburnum_brachybotryum	0
Viburnum_awabuki	0
Viburnum_odoratissimum	0
Viburnum_sieboldii	0
Viburnum_lutescens	0
Viburnum_colebrookeanum	0
Viburnum_plicatum	0
Viburnum_amplificatum	0
Viburnum_urceolatum	0
Viburnum_taiwanianum	0
Viburnum_calvum	0
Viburnum_atrocyaneum	0
Viburnum_propinquum	0
Viburnum_cinnamomifolium	0
Viburnum_rigidum	0
Viburnum_tinus	0
Viburnum_opulus	0
Viburnum_koreanum	0
Viburnum_orientale	0
Viburnum_acerifolium	0
Viburnum_kansuense	0
Viburnum_hebanthum	0
Viburnum_coriaceum	0
Viburnum_cylindricum	0
Viburnum_wrightii	0
Viburnum_adenophorum	0
Viburnum_sempervirens	0
Viburnum_melanocarpum	0
Viburnum_japonicum	0
Viburnum_luzonicum	0
Viburnum_erosum	0
Viburnum_betulifolium	0
Viburnum_setigerum	0
Viburnum_dilatatum	0
Viburnum_hupehense	0
Viburnum_foetidum	0
Viburnum_brachyandrum	0
Viburnum_flavescens	0
Viburnum_ichangense	0
Viburnum_lobophyllum	0
Viburnum_inopinatum	0
Viburnum_ternatum	0
Viburnum_discolor	0
Viburnum_sulcatum	0
Viburnum_jucundum	0
Viburnum_lautum	0
Viburnum_blandum	0
Viburnum_hartwegii	0
Viburnum_caudatum	0
Viburnum_stenocalyx	0
Viburnum_loeseneri	0
Viburnum_jamesonii	0
Viburnum_triphyllum	0
Viburnum_toronis	0
Viburnum_dentatum	0
Viburnum_ellipticum	0
Viburnum_bracteatum	0
Viburnum_molle	0
Viburnum_rafinesquianum	0
Viburnum_sympodiale	0
Viburnum_lantanoides	0
Viburnum_furcatum	0
Sambucus_australis	0
Sambucus_tigranii	0
Sambucus_callicarpa	0
Sambucus_racemosa	0
Sambucus_peruviana	0
Sambucus_canadensis	0
Sambucus_maderensis	0
Sambucus_nigra	0
Sambucus_gaudichaudiana	0
Sambucus_australasica	0
Sambucus_adnata	0
Sambucus_ebulus	0
Sambucus_wightiana	0
Sambucus_javanica	0
Adoxa_moschatellina	0
Sinadoxa_corydalifolia	1
Tetradoxa_omeiensis	0
Linnaea_borealis	1
Dipelta_yunnanensis	1
Dipelta_floribunda	1
Dipelta_ventricosa	1
Abelia_spathulata	1
Abelia_schumannii	1
Abelia_graebneriana	1
Abelia_parvifolia	1
Abelia_engleriana	1
Abelia_chinensis	1
Abelia_occidentalis	1
Abelia_floribunda	1
Abelia_mexicana	1
Kolkwitzia_amabilis	1
Zabelia_biflora	1
Zabelia_mosanensis	1
Zabelia_tyaihyoni	1
Zabelia_umbellata	1
Zabelia_triflora	1
Bassecoia_bretschneideri	1
Bassecoia_siamensis	1
Pterocephalus_perennis	1
Pterocephalus_strictus	1
Pterocephalus_frutescens	1
Pterocephalus_multiflorus	1
Pterocephalus_dumetorum	1
Pterocephalus_depressus	1
Pterocephalus_brevis	1
Pterocephalus_pulverulentus	1
Pterocephalus_papposus	1
Scabiosa_tschiliensis	1
Sixalix_eremophila	1
Sixalix_atropurpurea	1
Scabiosa_atropurpurea	1
Scabiosa_tysonii	1
Scabiosa_transvaalensis	1
Scabiosa_africana	1
Lomelosia_brachiata	1
Lomelosia_calocephala	1
Lomelosia_graminifolia	1
Lomelosia_cretica	1
Lomelosia_argentea	1
Lomelosia_stellata	1
Lomelosia_caucasica	1
Lomelosia_songarica	1
Pycnocomon_intermedium	1
Pycnocomon_rutifolium	1
Cephalaria_paphlagonica	1
Cephalaria_hirsuta	1
Cephalaria_microcephala	1
Cephalaria_aristata	1
Cephalaria_natalensis	1
Cephalaria_zeyheriana	1
Cephalaria_syriaca	1
Cephalaria_tenella	1
Pterocephalidium_diandrum	1
Dipsacus_strigosus	1
Dipsacus_pilosus	1
Dipsacus_asperoides	1
Dipsacus_sativus	1
Dipsacus_fullonum	1
Knautia_dipsacifolia	1
Knautia_calycina	1
Knautia_arvensis	1
Knautia_intermedia	1
Knautia_drymeia	1
Knautia_midzorensis	1
Knautia_dinarica	1
Knautia_orientalis	1
Pseudoscabiosa_saxatilis	1
Pseudoscabiosa_limonifolia	1
Pseudoscabiosa_grosii	1
Succisella_inflexa	1
Succisa_pratensis	1
Triplostegia_glandulifera	1
Triplostegia_grandiflora	1
Valeriana_jatamansi	1
Nardostachys_chinensis	1
Valeriana_celtica	1
Centranthus_calcitrapae	1
Centranthus_macrosiphon	1
Centranthus_sieberi	1
Centranthus_trinervis	1
Centranthus_lecoqii	1
