/blue/burleigh/nhans/GitHubNH/DataCloning/BirthDeath/Scripts
c0709a-s19.ufhpc
Wed Jul 21 11:48:42 EDT 2021
Loading required package: ape
Loading required package: maps
[1] "No cloning"
1000: {0.1208, 0.0074} -> 24.29329
2000: {0.0978, 0.0116} -> 24.42896
3000: {0.1488, 0.0216} -> 20.87717
4000: {0.1037, 0.0091} -> 24.91623
5000: {0.1009, 0.0135} -> 24.55001
6000: {0.1552, 0.0697} -> 21.82537
7000: {0.1192, 0.0318} -> 24.23398
8000: {0.0967, 0.0225} -> 23.35726
9000: {0.1103, 0.0082} -> 24.94971
10000: {0.0968, 0.0220} -> 23.41606
11000: {0.1213, 0.0083} -> 24.26678
12000: {0.1332, 0.0715} -> 22.06701
13000: {0.1041, 0.0085} -> 24.94853
14000: {0.1419, 0.0709} -> 22.33504
15000: {0.1077, 0.0054} -> 25.04207
[1] 2
1000: {0.1176, 0.0086} -> 22.04809
2000: {0.1141, 0.0041} -> 22.20127
3000: {0.1236, 0.0242} -> 21.82955
4000: {0.1176, 0.0154} -> 22.11133
5000: {0.1048, 0.0223} -> 21.71208
6000: {0.1335, 0.0274} -> 21.11951
7000: {0.1366, 0.0143} -> 20.10717
8000: {0.0991, 0.0113} -> 21.94408
9000: {0.1260, 0.0216} -> 21.65616
10000: {0.1131, 0.0167} -> 22.22124
11000: {0.0916, 0.0087} -> 21.26909
12000: {0.1293, 0.0412} -> 21.43640
13000: {0.1217, 0.0275} -> 21.88396
14000: {0.1461, 0.0473} -> 20.33834
15000: {0.1282, 0.0201} -> 21.43447
[1] 4
1000: {0.1484, 0.0899} -> 19.09145
2000: {0.1283, 0.0370} -> 21.53865
3000: {0.1244, 0.0144} -> 21.64000
4000: {0.1176, 0.0017} -> 21.87470
5000: {0.1610, 0.0682} -> 19.23057
6000: {0.1084, 0.0082} -> 22.39814
7000: {0.1147, 0.0169} -> 22.19530
8000: {0.1222, 0.0025} -> 21.42292
9000: {0.1146, 0.0412} -> 21.12097
10000: {0.1246, 0.0297} -> 21.76315
11000: {0.1266, 0.0212} -> 21.60329
12000: {0.0956, 0.0217} -> 20.68710
13000: {0.1096, 0.0327} -> 21.37570
14000: {0.1533, 0.0988} -> 18.53929
15000: {0.0979, 0.0014} -> 22.34019
[1] 8
1000: {0.1204, 0.0124} -> 21.91517
2000: {0.1138, 0.0179} -> 22.19343
3000: {0.0978, 0.0066} -> 22.10200
4000: {0.1171, 0.0041} -> 21.99341
5000: {0.1106, 0.0274} -> 21.78237
6000: {0.1097, 0.0121} -> 22.32672
7000: {0.1139, 0.0200} -> 22.14624
8000: {0.1409, 0.0552} -> 20.75617
9000: {0.1423, 0.0515} -> 20.70396
10000: {0.1061, 0.0145} -> 22.19466
11000: {0.1303, 0.0258} -> 21.37717
12000: {0.1020, 0.0367} -> 20.09182
13000: {0.0980, 0.0069} -> 22.09715
14000: {0.1161, 0.0143} -> 22.17200
15000: {0.1288, 0.0434} -> 21.39253
[1] 16
1000: {0.1280, 0.0111} -> 21.13208
2000: {0.1510, 0.0696} -> 20.02485
3000: {0.0764, 0.0026} -> 18.59549
4000: {0.1401, 0.0607} -> 20.65354
5000: {0.1375, 0.0444} -> 21.02444
6000: {0.1196, 0.0034} -> 21.74212
7000: {0.0943, 0.0006} -> 22.13537
8000: {0.1258, 0.0136} -> 21.47237
9000: {0.0946, 0.0185} -> 20.84551
10000: {0.1036, 0.0008} -> 22.51557
11000: {0.1138, 0.0555} -> 19.66334
12000: {0.1234, 0.0260} -> 21.83568
13000: {0.1197, 0.0156} -> 22.00696
14000: {0.1081, 0.0151} -> 22.23087
15000: {0.1522, 0.0444} -> 19.50718
[1] 32
1000: {0.1101, 0.0165} -> 22.22223
2000: {0.1098, 0.0116} -> 22.33501
3000: {0.1090, 0.0272} -> 21.70091
4000: {0.1233, 0.0683} -> 19.36756
5000: {0.1437, 0.0262} -> 19.76435
6000: {0.1098, 0.0299} -> 21.58122
7000: {0.0892, 0.0087} -> 20.89654
8000: {0.1114, 0.0073} -> 22.35014
9000: {0.1233, 0.0037} -> 21.35621
10000: {0.1083, 0.0036} -> 22.44322
11000: {0.0993, 0.0060} -> 22.22700
12000: {0.1214, 0.0227} -> 21.93463
13000: {0.1110, 0.0072} -> 22.36049
14000: {0.1016, 0.0063} -> 22.33373
15000: {0.1019, 0.0086} -> 22.25488
[1] 64
1000: {0.1180, 0.0261} -> 21.98086
2000: {0.1383, 0.0345} -> 20.82912
3000: {0.0971, 0.0007} -> 22.31981
4000: {0.0919, 0.0162} -> 20.62537
5000: {0.1079, 0.0030} -> 22.45410
6000: {0.1204, 0.0339} -> 21.74703
7000: {0.1155, 0.0316} -> 21.76022
8000: {0.1547, 0.0382} -> 18.76409
9000: {0.1522, 0.0786} -> 19.74835
10000: {0.1148, 0.0245} -> 22.02614
11000: {0.1225, 0.0111} -> 21.72033
12000: {0.1129, 0.0222} -> 22.08076
13000: {0.1176, 0.0172} -> 22.11011
14000: {0.1134, 0.0552} -> 19.64210
15000: {0.0935, 0.0037} -> 21.88068
[1] 128
1000: {0.1222, 0.0054} -> 21.55391
2000: {0.1245, 0.0410} -> 21.50366
3000: {0.1438, 0.0558} -> 20.59055
4000: {0.0987, 0.0009} -> 22.39534
5000: {0.1206, 0.0037} -> 21.64826
6000: {0.1011, 0.0352} -> 20.10957
7000: {0.1158, 0.0366} -> 21.50959
8000: {0.1653, 0.1076} -> 18.13222
9000: {0.1388, 0.0197} -> 20.12530
10000: {0.1246, 0.0256} -> 21.77851
11000: {0.1219, 0.0099} -> 21.73869
12000: {0.1412, 0.0338} -> 20.47870
13000: {0.1659, 0.0828} -> 18.91619
14000: {0.1301, 0.0071} -> 20.63389
15000: {0.1263, 0.0269} -> 21.68585
[1] 256
1000: {0.1143, 0.0004} -> 22.11619
2000: {0.1163, 0.0205} -> 22.11307
3000: {0.1365, 0.0208} -> 20.50629
4000: {0.1269, 0.0388} -> 21.54697
5000: {0.1118, 0.0130} -> 22.29491
6000: {0.1707, 0.0607} -> 17.56687
7000: {0.1207, 0.0309} -> 21.83617
8000: {0.1397, 0.0606} -> 20.66619
9000: {0.1302, 0.0337} -> 21.47128
10000: {0.1479, 0.0833} -> 19.55058
11000: {0.1091, 0.0418} -> 20.54435
12000: {0.1227, 0.0271} -> 21.85814
13000: {0.1090, 0.0466} -> 20.01266
14000: {0.1139, 0.0259} -> 21.96269
15000: {0.1080, 0.0187} -> 22.09076
[1] 512
1000: {0.1370, 0.0452} -> 21.05108
2000: {0.1081, 0.0196} -> 22.05375
3000: {0.1535, 0.0536} -> 19.70467
4000: {0.1403, 0.0147} -> 19.53496
5000: {0.1270, 0.0202} -> 21.55122
6000: {0.1143, 0.0130} -> 22.24120
7000: {0.1433, 0.0926} -> 18.57812
8000: {0.1425, 0.0547} -> 20.67786
9000: {0.0897, 0.0276} -> 18.75254
10000: {0.1120, 0.0281} -> 21.80430
11000: {0.1362, 0.0711} -> 20.08353
12000: {0.1128, 0.0217} -> 22.09449
13000: {0.1206, 0.0734} -> 18.33627
14000: {0.1176, 0.0047} -> 21.96108
15000: {0.0849, 0.0012} -> 20.83110
[1] 2
1000: {0.1127, 0.0022} -> 47.10175
2000: {0.1128, 0.0158} -> 47.00607
3000: {0.1419, 0.0411} -> 43.51017
4000: {0.1089, 0.0148} -> 47.05669
5000: {0.1080, 0.0217} -> 46.42278
6000: {0.0957, 0.0017} -> 47.05068
7000: {0.1077, 0.0130} -> 47.14262
8000: {0.1129, 0.0025} -> 47.09269
9000: {0.1165, 0.0107} -> 46.81915
10000: {0.1074, 0.0024} -> 47.55569
11000: {0.0983, 0.0003} -> 47.47547
12000: {0.1105, 0.0136} -> 47.13837
13000: {0.1207, 0.0159} -> 46.37652
14000: {0.1025, 0.0038} -> 47.51248
15000: {0.1176, 0.0415} -> 44.96427
[1] 4
1000: {0.1146, 0.0098} -> 91.46220
2000: {0.0995, 0.0022} -> 92.21047
3000: {0.1221, 0.0357} -> 89.14218
4000: {0.1071, 0.0104} -> 91.97805
5000: {0.1062, 0.0121} -> 91.70905
6000: {0.1068, 0.0143} -> 91.46763
7000: {0.1166, 0.0053} -> 90.77531
8000: {0.1031, 0.0057} -> 92.23015
9000: {0.1080, 0.0034} -> 92.41469
10000: {0.1053, 0.0069} -> 92.26113
11000: {0.1145, 0.0097} -> 91.48029
12000: {0.1128, 0.0043} -> 91.69505
13000: {0.1065, 0.0073} -> 92.26057
14000: {0.1114, 0.0046} -> 91.96291
15000: {0.1323, 0.0395} -> 87.68318
[1] 8
1000: {0.1063, 0.0052} -> 182.21932
2000: {0.1201, 0.0164} -> 178.37695
3000: {0.1068, 0.0017} -> 182.48355
4000: {0.1102, 0.0001} -> 181.52989
5000: {0.1083, 0.0103} -> 181.46050
6000: {0.1034, 0.0029} -> 182.44164
7000: {0.1032, 0.0022} -> 182.54314
8000: {0.1065, 0.0016} -> 182.53106
9000: {0.1097, 0.0048} -> 181.84110
10000: {0.1051, 0.0008} -> 182.72811
11000: {0.1094, 0.0156} -> 180.45919
12000: {0.1102, 0.0070} -> 181.64695
13000: {0.1106, 0.0070} -> 181.55968
14000: {0.1004, 0.0005} -> 182.44474
15000: {0.1093, 0.0048} -> 181.91177
[1] 16
1000: {0.1018, 0.0029} -> 361.78213
2000: {0.1060, 0.0050} -> 361.87884
3000: {0.1055, 0.0018} -> 362.61002
4000: {0.1005, 0.0000} -> 362.46168
5000: {0.1055, 0.0006} -> 362.77598
6000: {0.1113, 0.0139} -> 359.10947
7000: {0.1014, 0.0021} -> 361.95317
8000: {0.1081, 0.0041} -> 361.71391
9000: {0.1077, 0.0015} -> 362.01771
10000: {0.1061, 0.0013} -> 362.55904
11000: {0.1091, 0.0028} -> 361.39967
12000: {0.1043, 0.0052} -> 361.63980
13000: {0.1072, 0.0075} -> 361.21062
14000: {0.1058, 0.0066} -> 361.40300
15000: {0.1076, 0.0042} -> 361.84328
[1] 32
1000: {0.1052, 0.0031} -> 722.11976
