"","i","lambda","mu","p"
"1",1,0.117879043266116,0.0278881522716337,24.3783519595256
"2",2,0.112449036225744,0.0294881458604655,24.2168210424986
"3",3,0.121352739337952,0.0619726280975619,22.1107903806969
"4",4,0.148527370681175,0.033785109870769,21.7502553684048
"5",5,0.10952106870436,0.0140872114126252,24.8321866092565
"6",6,0.123694818189414,0.0139961761608515,24.1699211728294
"7",7,0.129731860349174,0.0528230748653312,23.2986969651865
"8",8,0.133352145089302,0.0385493681738751,23.6012951066927
"9",9,0.130447279306285,0.0281515521831581,23.7905706735649
"10",10,0.117179066984139,0.028362794061907,24.3635973687394
"11",11,0.118369876250608,0.032020611729362,24.2224662097427
"12",12,0.119301864397144,0.0215019442753838,24.49192049675
"13",13,0.10293279187595,0.040873248354292,22.1970751389281
"14",14,0.133452163239284,0.0461489890691481,23.4906397401351
"15",15,0.126261010716977,0.0375296015896238,23.9475521527327
"16",16,0.112725757432478,0.0174243122168656,24.728725153592
"17",17,0.101691151307344,0.0104852542247863,24.769755321076
"18",18,0.11985501879449,0.0181218392834714,24.490859289269
"19",19,0.118640554125881,0.0282457047340261,24.3605608407796
"20",20,0.103979035434344,0.00879402857779216,24.9339341660289
"21",21,0.109912731697608,0.0126742117117476,24.8705719717835
"22",22,0.0928874683976931,0.00292659989418122,24.5484936978958
"23",23,0.0985930043450383,0.00079659746451018,25.0648247687621
"24",24,0.106833792728448,0.0156857439814121,24.7295455473392
"25",25,0.129704956570927,0.0344228976957089,23.8532765934914
"26",26,0.138103836560009,0.0281093464358883,22.9819306006773
"27",27,0.110024303172575,0.0266852655329083,24.277488273343
"28",28,0.12656872669552,0.0275933036166811,24.0752105202016
"29",29,0.119326960244279,0.0057363110450312,24.3898990964265
"30",30,0.099624940212879,0.0073757475242122,24.8170652969353
"31",31,0.109546585842912,0.00928616318635869,24.9475458752717
"32",32,0.113530079294873,0.00247796204563024,24.7989544064126
"33",33,0.116819735705798,0.0346498385590717,24.0702425783877
"34",34,0.141675208826262,0.0461453197777298,22.967830954206
"35",35,0.141921264925684,0.0416456680162191,22.8966309068247
"36",36,0.127930497523737,0.0523911731514331,23.3015209343821
"37",37,0.121397266494563,0.014309350376828,24.3703084239508
"38",38,0.087326023728876,0.0168449306652908,22.2753032176359
"39",39,0.11326116945253,0.00557365008500665,24.8411601556064
"40",40,0.0915777566515404,0.00284679217747093,24.4117895993601
"41",41,0.093183526265131,0.00337294516822239,24.5483585919493
"42",42,0.0884946207596675,0.00216060381802278,24.0656368471739
"43",43,0.120964904407059,0.0390461661995402,23.9237272242157
"44",44,0.137093170535071,0.0327302100281413,23.2301729315235
"45",45,0.12368183158177,0.0330008269894767,24.1337883026452
"46",46,0.118296555207389,0.0285192822831354,24.3545766108691
"47",47,0.120930826354917,0.0493315919473762,23.2655006209924
"48",48,0.11686271644957,0.0092128180908697,24.6449293926054
"49",49,0.0963768757365667,0.00359683392125595,24.8097319184429
"50",50,0.113825186928219,0.0311442835191873,24.1730086032333
"51",51,0.0996657789340106,0.00819196692972943,24.7765597066947
"52",52,0.108878755681291,0.00429841246499034,25.0286769796049
"53",53,0.0968281113588796,0.0321483142895374,22.2386096633857
"54",54,0.149044660795518,0.0551831671051858,22.3572366005761
"55",55,0.122945057987274,0.0336388031206339,24.1332922420246
"56",56,0.116682491181197,0.0360811097643848,23.9848448823892
"57",57,0.127066321979896,0.0188771126404282,23.9525037416154
"58",58,0.101215029886611,0.0167291898092707,24.3614221475407
"59",59,0.117353550511894,0.0105729692589153,24.6230292576219
"60",60,0.107639059543027,0.0121751479946145,24.8800988093831
"61",61,0.121236774001619,0.00392425151699929,24.1398267396691
"62",62,0.102480006655248,0.00207314689888853,25.1238579104634
"63",63,0.104499682110028,0.0027114006364074,25.1192961995299
"64",64,0.107945642270532,0.0226397656423739,24.4173964289923
"65",65,0.110492750613039,0.0146319081986407,24.8165435310146
"66",66,0.122482008633224,0.0519797576537923,23.1410954966922
"67",67,0.125926396466812,0.00344225975360959,23.5305628799313
"68",68,0.0971458046822077,0.00984945980553566,24.4867630904459
"69",69,0.079500759360166,0.00833019114782897,21.4573289703827
"70",70,0.0853357707671464,0.000441634303018141,23.7178630405269
"71",71,0.105697128521751,0.0138473101637181,24.7759991475397
"72",72,0.110185349887227,0.00414260344307387,24.9853568481683
"73",73,0.117159309299653,0.0112902497458976,24.6392914585299
"74",74,0.119624767863182,0.00140602469374157,24.2293152537103
"75",75,0.0968712306730354,7.97095460802473e-06,25.017918941274
"76",76,0.106731021530372,0.034388399751591,23.4335176620379
"77",77,0.14613894385789,0.05857825225169,22.5895720872004
"78",78,0.116089357206538,0.0589896497155572,21.8561325080186
"79",79,0.148003005388696,0.0771843582072761,21.9445175061857
"80",80,0.132031275111265,0.0266572956150877,23.6240867130625
"81",81,0.0964460836711454,0.00890822516305398,24.4871784341772
"82",82,0.12108994536258,0.0045480963229651,24.1772649298059
"83",83,0.12192492503829,0.0251511505406186,24.3397346680566
"84",84,0.111239783860806,0.00710624166070156,24.9311935439314
"85",85,0.115129192627968,0.0351194706162262,23.9854756463812
"86",86,0.119601921933813,0.00133369362319467,24.2292638517861
"87",87,0.117885059989034,0.00658290049604088,24.5346299507849
"88",88,0.113873329721368,0.0410725151928366,23.4802830848326
"89",89,0.109569228077284,0.0121334464047445,24.8859194758907
"90",90,0.126800982469609,0.0432864720503057,23.7460165788721
"91",91,0.152453285660932,0.0394568312483097,21.4335884615888
"92",92,0.14014521049835,0.0643249227048981,22.6827175563953
"93",93,0.160594454345458,0.0894685219822604,21.0512647060597
"94",94,0.150731373552879,0.0497120381315113,22.0848880029256
"95",95,0.126866234161606,0.0631613612787106,22.446068940656
"96",96,0.164027690617799,0.085099189913125,20.9855109520483
"97",97,0.131564776679001,0.0494118553208403,23.4451823696466
"98",98,0.109892855056191,0.0343046797591267,23.7317250554028
"99",99,0.127259002330342,0.0448059419034973,23.6804641551796
"100",100,0.132733146028494,0.0534211857003869,23.2649179445652
"101",101,0.152410369996976,0.0506316375448987,21.9037249963388
"102",102,0.13521241988248,0.0434513603704269,23.4476597690526
"103",103,0.137964225278732,0.0640533811472689,22.7162195803296
"104",104,0.134008023281519,0.0737881192517713,21.8998309581189
"105",105,0.1685724351778,0.08811068065539,20.6001168204123
"106",106,0.149491776129168,0.0908536882576359,21.0445060897152
"107",107,0.150682170181186,0.0705165016740551,22.1071707360503
"108",108,0.137416140902438,0.0650682847799957,22.6602367811643
"109",109,0.154428398935417,0.0591943502788362,21.857078670436
"110",110,0.124309962272949,0.0594923642927814,22.6117935957776
"111",111,0.139286224644004,0.0655027556862607,22.6345006465748
"112",112,0.138164152072116,0.0682316184600638,22.4754003975478
"113",113,0.142593096497069,0.02509493541578,22.2083522800015
"114",114,0.12780830411323,0.0226909332836061,23.9506583843036
"115",115,0.120492790272353,0.0417552527452685,23.7655548719758
"116",116,0.126167702317727,0.0494886323436522,23.440711372685
"117",117,0.125229808237892,0.016348972716982,24.075029000084
"118",118,0.126411668482725,0.038686286125454,23.9111345902369
"119",119,0.117070436935429,0.0380072426072525,23.8817395611122
"120",120,0.128637338431101,0.0246726376251051,23.9051629170434
"121",121,0.126991937465238,0.026104851497294,24.0454206909495
"122",122,0.105218080749939,0.0145541351622857,24.7267808912161
"123",123,0.11873889660271,0.000165490067764646,24.282337846023
"124",124,0.120105510559892,0.0484245273029884,23.2909739675156
"125",125,0.121696721819242,0.0124732021656211,24.3189834530525
"126",126,0.107737500468987,0.0061971561610911,25.0283175174454
"127",127,0.104777635808599,0.003244244389625,25.1076249389425
"128",128,0.106813783282607,0.00337503854229806,25.0863178424123
"129",129,0.0835461744947423,0.00402823966532841,23.0051874876884
"130",130,0.0984051188362827,0.0109086112811858,24.5246093196848
"131",131,0.114693693960441,0.00443729321582829,24.7432471405201
"132",132,0.0947339999986255,0.00700256590820717,24.4539688793374
"133",133,0.126274539699439,0.0415920203604793,23.8167517431697
"134",134,0.133427974503879,0.0308190682365862,23.5595111828164
"135",135,0.107820967725658,0.0446118244303585,22.4844170259241
"136",136,0.145977275284187,0.0896574464763447,21.0277364494098
"137",137,0.124211374878134,0.0355547789051773,24.0517718152976
"138",138,0.121733173599204,0.0371577801456252,24.0175539671303
"139",139,0.13134598954275,0.0314798711872595,23.7434870286366
"140",140,0.11101492754423,0.00178606950401324,24.9451272883011
"141",141,0.106000944523896,0.0293648828610877,23.8076384940919
"142",142,0.108598289578172,0.0105346966583038,24.9298807207638
"143",143,0.0930663329641768,0.0103853534444616,23.9931565308318
"144",144,0.0952471175745896,0.00961573225250612,24.3164429314382
"145",145,0.0932731903423036,0.00288845243008462,24.589717530987
"146",146,0.113392096388581,0.0186185304324137,24.6912097158119
"147",147,0.112674586152153,0.0285736226739713,24.2767519936119
"148",148,0.119183896427772,0.00292377388270609,24.3261694283385
"149",149,0.096141036545656,0.0024389405133944,24.8557836995203
"150",150,0.0951919170921687,0.0100000237536038,24.2812299542313
"151",151,0.109838686262521,0.0145291153084308,24.8196790959505
"152",152,0.116609447977898,0.00557491135913066,24.6191488606817
"153",153,0.111861142189267,0.0247499714971382,24.4491748449685
"154",154,0.110396626459619,0.0287406291736251,24.1682305741064
"155",155,0.107511306050229,0.0203521798112679,24.5253401857327
"156",156,0.102108713237793,0.00539038166329555,25.0105699288211
"157",157,0.124729805293311,0.0478356119694901,23.5093637156946
"158",158,0.13710501025692,0.036644225401247,23.2952638058773
"159",159,0.130166932835284,0.0361694864410518,23.8119147448453
"160",160,0.117744087347689,0.0339352187030739,24.1277999559451
"161",161,0.109014329745663,0.00289960370231217,25.033580040066
"162",162,0.108436322681386,0.00290221709386874,25.052534359758
"163",163,0.100931098205871,0.00763128403222555,24.8725504596781
"164",164,0.118763322578376,0.005456324374121,24.4352867717355
"165",165,0.117083893143205,0.0150926752158677,24.6426897708407
"166",166,0.110831344598886,0.0159367570152666,24.7786027072981
"167",167,0.113505492770051,0.00680673120759902,24.8319424205205
"168",168,0.110378901056595,0.00975951480157879,24.9247823823243
"169",169,0.108415904763988,0.00672788677587836,25.0093231206294
"170",170,0.10586826181688,0.00106687555549858,25.1326348796477
"171",171,0.106944058731158,0.00875546850119001,24.9766832376231
"172",172,0.108872093575907,0.00545796776195549,25.0173534800608
"173",173,0.101752461257912,0.000876884052090768,25.1467340562504
"174",174,0.111969640358774,0.0116087589878271,24.8608755108772
"175",175,0.109287112993188,0.000573205206666765,25.0259673925522
"176",176,0.112580316658788,0.0185172916772123,24.6990075266012
"177",177,0.120450965313926,0.043557790629218,23.6531583649714
"178",178,0.122620821927284,0.0217302302318031,24.3265859037935
"179",179,0.104451365323347,0.00546113075760691,25.0520020263215
"180",180,0.0989763488943251,0.0139147896175771,24.3680585474536
"181",181,0.130364229501833,0.0193970136080458,23.6214697764389
"182",182,0.126130622035663,0.032715907386688,24.054602081063
"183",183,0.105744186918914,0.00542661425099955,25.0582176440371
"184",184,0.115683518893806,0.0324370185216897,24.1593207352571
"185",185,0.118923923515207,0.00128350790795203,24.3008182433129
"186",186,0.105909042037528,0.00850405870741153,24.9777657770605
"187",187,0.119490996934909,0.0396552767378694,23.8608956897128
"188",188,0.140003064617146,0.0400232458063509,23.0635508278909
"189",189,0.125020772641941,0.0215996162448366,24.1650476802498
"190",190,0.126986750550777,0.0148236927753042,23.8592191280502
"191",191,0.1142520260353,0.0228639452215581,24.5581394793915
"192",192,0.113789283047279,0.00581211355834154,24.8124685424251
"193",193,0.114518986682373,0.00261926745370127,24.730853667602
"194",194,0.0948359814812095,0.012598167480479,24.029496106262
"195",195,0.119481091126449,0.0174537890597763,24.5126996205763
"196",196,0.120516568454358,0.026156779393101,24.375680994352
"197",197,0.10888479995995,0.00425751404767668,25.0288478409503
"198",198,0.109098539565103,0.0129038650020549,24.8660612378783
"199",199,0.101298960468183,0.0106052812091533,24.7424210496078
"200",200,0.0944769341101972,0.00504545885758646,24.5631360044397
"201",201,0.104911619960025,0.00335748241091516,25.1049698884963
"202",202,0.109765921361085,0.015000636192197,24.8049858609162
"203",203,0.0945204416954875,0.0112845967918901,24.1012091756946
"204",204,0.0948649832945302,0.00920996208955184,24.3058242926784
"205",205,0.124929186463824,0.011487436279614,23.982457176698
"206",206,0.115810711071363,0.030121830204528,24.2779194663563
"207",207,0.142922468220675,0.0296068703387257,22.390081325399
"208",208,0.133156437498012,0.0653098548256989,22.5702958194214
"209",209,0.157207545564658,0.0844292130290238,21.3765751323087
"210",210,0.156923338541727,0.0783455343006744,21.5762028550299
"211",211,0.151378136863642,0.0835792419875287,21.5604542658603
"212",212,0.15616147888329,0.0965194073880338,20.7221183543664
"213",213,0.152887108121937,0.0864301422377596,21.3835244246038
"214",214,0.171718396680368,0.0721377162572107,20.0048788625223
"215",215,0.179008878922028,0.1223109015676,18.8598768340391
"216",216,0.172324430677978,0.119642387505307,19.0877734716037
"217",217,0.169464514968936,0.0522046957810604,19.2477513398471
"218",218,0.166101081336262,0.127426792710209,18.0859872082984
"219",219,0.189792259910388,0.139625925596098,17.5462143198388
"220",220,0.180344937986007,0.144356846802349,16.9002796183048
"221",221,0.185653895178624,0.0944874090304993,18.7910809667493
"222",222,0.186249212272818,0.118479324703775,18.7375792295756
"223",223,0.182296463455426,0.0839910125647614,18.9044493261528
"224",224,0.143613203013669,0.0706136924493901,22.3349972780753
"225",225,0.144309743922621,0.0407037493317139,22.6142881544924
"226",226,0.116568667428054,0.00898892398827443,24.6624654270175
"227",227,0.102981183895484,0.0212992803149956,24.1790572449146
"228",228,0.100270215711907,0.0116701995350724,24.6180610476343
"229",229,0.101465293900167,0.00856065476510274,24.8535677805362
"230",230,0.115003804117479,0.010233391093441,24.7574791401174
"231",231,0.108964586799863,0.0148161543274664,24.8054017974195
"232",232,0.111759478350502,0.00271822771971223,24.9098775252595
"233",233,0.128618710915133,0.0174314232272227,23.7573281330275
"234",234,0.108536347498692,0.00990071936735425,24.9454138938936
"235",235,0.105392291074144,0.00940835340192056,24.9420643144331
"236",236,0.101037683760031,0.00585419026829265,24.9563380438942
"237",237,0.110858509981986,0.000351650056403588,24.9443903153297
"238",238,0.108774415983218,0.0179020909446265,24.6843580884597
"239",239,0.120558400625556,0.0101784501330587,24.3754991856887
"240",240,0.0979968223331236,0.00910528427486559,24.6073493678094
"241",241,0.0925114052635532,0.0150478398903289,23.472863297952
"242",242,0.129666729409975,0.0344924671010407,23.8549949508332
"243",243,0.117298047126999,0.0501176291890225,22.9491610939195
"244",244,0.140612136032505,0.0435495903263558,23.0447381698447
"245",245,0.113259325531744,0.0260829397381072,24.4183937446392
"246",246,0.128514882853662,0.0168087898287897,23.7504245790293
"247",247,0.122748934399109,0.0367746938374844,24.030537786792
"248",248,0.121692746245834,0.0416453049220322,23.799609524438
"249",249,0.127916575171217,0.0323802217804431,23.9711119807026
"250",250,0.11434175597427,0.0164863466544325,24.7237429988147
"251",251,0.106081310534806,0.00564407950819807,25.0526768501858
"252",252,0.102073343536797,0.0140025187624946,24.5979374756486
"253",253,0.102417996269274,0.0176141029763246,24.3945283769674
"254",254,0.110575942904312,0.000606342825651861,24.9619394889315
"255",255,0.0978294920501917,0.0076190086196315,24.6853042079511
